Compactness,Roundness,SF3,area,centroid-0,centroid-1,eccentricity,equivalent_diameter,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,solidity,grade
0.665738908,0.583147592,0.859034,51257,329.1362546,407.8330765,0.8566259,255.4651,103.1363,194.8331,383.7317,197.9818,1.32363,1050.975,0.870814,180
0.652195657,0.469471257,0.76944,47247,297.8159248,345.9036341,0.8333032,245.2687,161.8159,127.9036,376.0662,207.8955,0.857799,1124.573,0.804972,180
0.647290168,0.506832242,0.773428,41366,357.8951071,359.9405792,0.8405565,229.4969,104.8951,165.9406,354.5503,192.0683,-1.50572,1012.732,0.798972,180
0.634538389,0.528617852,0.794949,39358,290.3451649,325.1639311,0.8622418,223.8575,161.3452,99.16393,352.7879,178.686,0.434275,967.2763,0.810085,180
0.672243686,0.514862626,0.834857,44643,281.2801559,322.2425912,0.840827,238.414,156.2802,118.2426,354.6541,191.9757,0.684239,1043.845,0.838602,180
0.651064325,0.495465056,0.730977,39239,247.0542063,334.487882,0.8146965,223.5188,112.0542,117.4879,343.3129,199.0829,-0.84116,997.6022,0.774281,180
0.712248534,0.580366505,0.826362,43845,221.9844452,287.8939902,0.7893889,236.2735,146.9844,102.894,331.7291,203.6463,0.064544,974.3473,0.836385,180
0.640468211,0.496789853,0.80923,39109,276.5778977,335.6584929,0.8620043,223.1482,142.5779,129.6585,348.4142,176.6115,0.980546,994.6194,0.82359,180
0.683116524,0.55168823,0.846263,50025,311.3728136,365.9136432,0.8342265,252.3763,117.3728,140.9136,369.4484,203.722,-1.00497,1067.46,0.859049,180
0.641370091,0.518034934,0.777582,50754,181.6162667,366.7928439,0.8486101,254.2086,120.6163,171.7928,396.3524,209.6779,-1.43835,1109.585,0.800498,180
0.69669073,0.535446052,0.812826,50198,289.4024264,320.8848958,0.8021305,252.8123,178.4024,111.8849,362.876,216.691,0.365033,1085.401,0.822851,180
0.659375116,0.53197165,0.80337,39276,249.8238874,326.2767084,0.8409005,223.6241,146.8239,114.2767,339.1456,183.5421,0.77122,963.2174,0.82293,180
0.668395339,0.526060092,0.801469,44564,171.3554887,343.4346558,0.8302326,238.203,99.35549,158.4347,356.3803,198.6525,-1.49743,1031.762,0.842133,180
0.677436468,0.399334314,0.808344,44131,203.5844644,328.6637738,0.8232158,237.0429,142.5845,107.6638,349.9116,198.6548,-0.39784,1178.443,0.812142,180
0.652749965,0.54309133,0.796043,45953,320.2949753,382.5505408,0.8446931,241.8867,127.295,166.5505,370.5656,198.3456,-1.39415,1031.159,0.807709,180
0.679309227,0.615654956,0.884527,41429,305.1293538,321.4750537,0.8531268,229.6716,153.1294,119.4751,338.0958,176.3858,0.810201,919.5778,0.878888,180
0.654783813,0.552056439,0.800003,49420,248.8590045,376.5389923,0.8442653,250.8456,124.859,174.539,383.0968,205.3113,0.867245,1060.632,0.824051,180
0.640977216,0.583605422,0.832798,39492,374.0948293,356.2399473,0.8698372,224.2382,91.09483,162.2399,349.838,172.5887,-1.44757,922.1463,0.848469,180
0.637604014,0.577297199,0.838195,42326,310.1210367,365.7488541,0.8745045,232.1446,91.12104,174.7489,364.0891,176.5895,1.430432,959.862,0.836697,180
0.634582605,0.536875951,0.810641,39361,353.7939585,347.9726633,0.8678871,223.866,127.794,169.9727,352.7768,175.2459,-1.15051,959.8448,0.810932,180
0.650656908,0.526563357,0.772184,38410,259.1252278,328.8804999,0.8363107,221.145,135.1252,124.8805,339.8797,186.341,0.988381,957.4184,0.798462,180
0.609667603,0.480139369,0.709017,41349,230.7753271,295.2702605,0.8515708,229.4497,154.7753,94.27026,376.3522,197.2987,-0.1865,1040.288,0.747938,180
0.650343242,0.505360938,0.79017,38003,243.6741047,309.62053,0.8446874,219.9703,156.6741,92.62053,338.2372,181.0448,0.190069,972.1047,0.789541,180
0.658428755,0.530565246,0.812598,44856,233.4354824,316.0030542,0.8457944,238.9821,141.4355,109.0031,362.9581,193.6414,-0.47103,1030.732,0.81503,180
0.656309171,0.466080199,0.757879,41971,337.7158276,401.7074409,0.8227859,231.1691,152.7158,168.7074,352.2259,200.1881,-1.03609,1063.774,0.788395,180
0.660205624,0.609024284,0.871684,47272,240.0404891,341.3896598,0.8660057,245.3336,142.0405,156.3897,371.6018,185.8136,0.53314,987.6194,0.867918,180
0.691839745,0.526129852,0.782951,47493,338.2710294,401.2164319,0.7913753,245.9064,150.271,163.2164,355.4384,217.2904,-1.12686,1065.058,0.82519,180
0.668371852,0.533997548,0.805943,44860,349.4653812,389.5890771,0.832328,238.9927,136.4654,163.5891,357.5745,198.1976,-1.2369,1027.46,0.821356,180
0.666622764,0.533236616,0.857097,43102,303.3231637,359.9735279,0.8550909,234.263,108.3232,170.9735,351.4177,182.2024,0.992216,1007.845,0.850658,180
0.674651027,0.515285148,0.770121,37102,237.005148,306.4970622,0.8066596,217.347,136.0051,96.49706,322.1622,190.4031,-0.18525,951.2174,0.785327,180
0.633217376,0.502098426,0.770318,43341,352.3987679,380.2585773,0.8538507,234.9116,135.3988,166.2586,370.981,193.1023,-1.31474,1041.502,0.791125,180
0.662705269,0.540039193,0.778273,44779,303.3578686,375.8657183,0.8255708,238.7769,177.3579,152.8657,360.3063,203.3203,-0.48114,1020.774,0.806306,180
0.665135414,0.309948228,0.749376,51622,319.8946767,334.6138081,0.8071365,256.3731,198.8947,129.6138,385.445,227.5532,0.737895,1446.698,0.779012,180
0.656811521,0.537246058,0.812332,52780,360.6363585,397.1611974,0.8473309,259.2327,121.6364,170.1612,394.6835,209.6027,-1.38168,1111.1,0.838936,180
0.66319627,0.606300486,0.866816,51032,219.4264971,365.2558591,0.8617061,254.9038,186.4265,152.2559,384.3565,195.0255,-0.53962,1028.448,0.870645,180
0.64028316,0.54822471,0.799664,43588,268.5675874,362.030513,0.8585865,235.5801,112.5676,157.0305,367.9311,188.6268,1.432074,999.5605,0.817694,180
0.64273297,0.499020408,0.863342,42890,327.4375612,401.7415481,0.8780897,233.6862,117.4376,167.7415,363.5821,173.9726,-1.26446,1039.259,0.859467,180
0.666985847,0.554060091,0.816876,42408,315.5616393,307.8750236,0.8386965,232.3694,174.5616,97.87502,348.3873,189.7314,0.200649,980.7321,0.834458,180
0.665217209,0.583070026,0.857263,42013,283.123795,326.571466,0.8564717,231.2847,158.1238,102.5715,347.683,179.4718,0.152776,951.5605,0.859531,180
0.656649744,0.58853571,0.840036,47210,409.0646685,373.4022453,0.8582104,245.1727,105.0647,189.4022,373.369,191.6496,1.117406,1004.004,0.842073,180
0.658964134,0.605846505,0.886073,36037,384.5211588,362.4681855,0.8716856,214.2049,88.52116,134.4682,325.063,159.3022,-1.21726,864.5656,0.860051,180
0.628623538,0.554618555,0.810587,44913,269.5440296,371.2028811,0.8731185,239.1339,133.544,153.2029,380.4087,185.4523,1.216821,1008.774,0.825774,180
0.634150356,0.426690582,0.804087,40881,165.7589345,356.0133069,0.8659512,228.1476,93.75893,164.0133,359.7689,179.9307,1.533025,1097.259,0.812679,180
0.707650931,0.46659858,0.831072,42911,224.0215329,308.849083,0.7980746,233.7434,148.0215,115.8491,330.3089,199.0305,-0.13629,1075.022,0.812339,180
0.686424661,0.599110743,0.869773,49124,192.7927693,330.3846999,0.840555,250.0932,113.7928,145.3847,364.3418,197.3735,-1.09778,1015.075,0.874902,180
0.701854726,0.616279558,0.857026,39610,218.7855844,367.2339813,0.8183091,224.573,143.7856,153.234,319.9707,183.9123,-1.01771,898.7077,0.855341,180
0.6258212,0.460354289,0.803387,38435,149.1166645,345.2214388,0.8731224,221.217,96.11666,157.2214,353.4828,172.3232,-1.56062,1024.288,0.803458,180
0.60521495,0.508253354,0.779016,43287,223.1090166,360.9854922,0.8825655,234.7652,98.10902,164.9855,387.9039,182.3884,1.511761,1034.531,0.809269,180
0.687734332,0.584262597,0.82918,47699,310.9323885,399.967819,0.8213552,246.4391,169.9324,159.9678,358.3348,204.4003,-0.71928,1012.874,0.849341,180
0.65281419,0.553810297,0.810618,49808,187.5103196,387.7645358,0.8506512,251.8283,108.5103,184.7645,385.7581,202.8048,1.322361,1063.1,0.828931,180
0.693492324,0.505612028,0.791302,42064,259.4133701,337.3565757,0.7941114,231.425,115.4134,154.3566,333.7096,202.8194,-1.37319,1022.472,0.823267,180
0.593997406,0.430848719,0.733692,40359,182.7866647,361.210585,0.8767751,226.6863,136.7867,185.2106,381.6284,183.5254,-1.19849,1084.958,0.758286,180
0.61428979,0.520646837,0.795347,45577,164.7870856,304.9786296,0.8802827,240.8951,164.7871,138.9786,392.1522,186.0564,0.89174,1048.833,0.796996,180
0.666691686,0.532198058,0.81228,47997,199.7869867,338.9378086,0.8370033,247.2078,116.787,162.9378,370.7977,202.8997,1.500016,1064.573,0.829723,180
0.65312758,0.451987623,0.809832,40414,198.4130252,358.4057257,0.8500229,226.8407,127.413,167.4057,347.3145,182.9465,-1.31594,1060.004,0.81656,180
0.710361975,0.546827651,0.861622,53146,223.5197381,320.5040831,0.8105597,260.1299,143.5197,113.5041,366.1935,214.4635,-0.55641,1105.134,0.870076,180
0.684352165,0.470387434,0.7269,42679,238.5496146,318.1414044,0.7647773,233.1107,156.5496,106.1414,340.6297,219.4659,0.194384,1067.786,0.748689,180
0.673162948,0.543544253,0.8564,49155,231.3271895,377.7878547,0.8485396,250.1721,115.3272,168.7879,371.6368,196.6449,1.104582,1066.035,0.856284,180
0.673933416,0.449399076,0.802826,41987,312.8332103,332.0432038,0.8245876,231.2131,156.8332,109.0432,343.0801,194.0922,0.542452,1083.543,0.823468,180
0.658031631,0.527513522,0.799871,41066,269.7711002,350.9032289,0.8408008,228.6632,110.7711,153.9032,347.4957,188.1149,1.507132,989.0753,0.79839,180
0.640234337,0.422918505,0.784128,43945,246.9043122,376.4792582,0.8524882,236.5428,106.9043,167.4793,369.4629,193.1354,-1.48111,1142.698,0.803764,180
0.665194075,0.47152023,0.766872,45070,341.3074551,386.4723097,0.8167462,239.5515,155.3075,163.4723,360.1227,207.7897,-1.12057,1095.97,0.804391,180
0.66555109,0.581782146,0.84293,52095,300.4977829,379.485037,0.8507945,257.545,109.4978,168.485,386.965,203.3495,-1.27293,1060.774,0.848315,180
0.672674354,0.518882461,0.776854,43652,184.3673371,351.2151104,0.8128553,235.7529,98.36734,168.2151,350.4711,204.1374,1.473725,1028.188,0.806772,180
0.657200027,0.550727569,0.810606,44172,191.498619,353.0831749,0.8462249,237.153,97.49862,172.0832,360.8536,192.2721,1.407181,1003.945,0.819822,180
